,Balance,Item,Date
0,7948335.0,Securities,2023-03-08
1,7771385.0,Securities,2023-05-17
2,307032.0,Premiums,2023-03-08
3,300483.0,Premiums,2023-05-17
4,-27844.0,Discounts,2023-03-08
5,-27510.0,Discounts,2023-05-17
6,0.0,Other repurchase,2023-03-08
7,6.0,Other repurchase,2023-05-17
8,15209.0,Liquidity facilities,2023-03-08
9,312840.0,Liquidity facilities,2023-05-17
10,22431.0,Other 1,2023-03-08
11,22002.0,Other 1,2023-05-17
12,1941.0,Other 2,2023-03-08
13,1902.0,Other 2,2023-05-17
14,5594.0,Other 3,2023-03-08
15,5621.0,Other 3,2023-05-17
16,-771.0,Other 4,2023-03-08
17,-240.0,Other 4,2023-05-17
18,11037.0,Other 5,2023-03-08
19,11037.0,Other 5,2023-05-17
20,18206.0,Other 6,2023-03-08
21,18532.0,Other 6,2023-05-17
22,5200.0,Other 7,2023-03-08
23,5200.0,Other 7,2023-05-17
24,33377.0,Other 8,2023-03-08
25,33504.0,Other 8,2023-05-17
26,51597.0,Other 9,2023-03-08
27,51737.0,Other 9,2023-05-17
28,411.0,CB liquidity swaps,2023-03-08
29,410.0,CB liquidity swaps,2023-05-17
30,2560350.0,Reverse repo,2023-03-08
31,2598627.0,Reverse repo,2023-05-17
32,3003676.0,Bank deposits,2023-03-08
33,3279987.0,Bank deposits,2023-05-17
34,2307964.0,Currency,2023-03-08
35,2333550.0,Currency,2023-05-17
36,492278.0,Other deposits,2023-03-08
37,285396.0,Other deposits,2023-05-17
38,131.0,Other Liability 1,2023-03-08
39,217.0,Other Liability 1,2023-05-17
40,15347.0,Other Liability 2,2023-03-08
41,15347.0,Other Liability 2,2023-05-17
42,12016.0,Other Liability 3,2023-03-08
43,-6214.0,Other Liability 3,2023-05-17
